OBJECTID	FEATUREID	TotalDrainageAreaSqKM
1	816202	2.0862
2	816203	1.8783
3	816226	0.8253
4	816227	3.9879
5	816438	5.346
6	816439	2.1087
7	816709	10.0485
8	816710	1.017
9	816932	1.7703
10	816933	0.8163
11	816940	0.9378
12	816941	2.6361
13	816961	2.0475
14	816970	4.7367
15	816995	0.8982
16	817007	0.7812
17	817024	2.1159
18	817025	1.7604
19	817144	13.3497
20	817145	1.0647
21	817346	7.353
22	817347	15.2829
23	817562	23.9373
24	817624	1.9773
25	817625	3.6675
26	817647	1.3014
27	817743	2.619
28	817751	8.2296
29	817806	28.7991
30	817831	0.8856
31	818123	3.492
32	818124	0.8541
33	818218	31.6872
34	818219	11.2518
35	818260	42.9966
36	818284	1.9368
37	818285	5.589
38	818306	5.3253
39	818367	49.2435
40	818368	3.7674
41	818420	0.8757
42	818421	1.6965
43	818565	2.3319
44	818566	8.226
45	818650	53.217
46	818651	3.6018
47	818652	1.0647
48	818653	0.7803
49	818765	2.529
50	818766	3.843
51	818785	3.9933
52	818786	1.2627
53	818862	1.269
54	818863	58.3992
55	818932	0.8838
56	818933	0.7587
57	818941	1.6938
58	818942	6.966
59	818955	1.7793
60	818956	59.6844
61	819051	9.198
62	819052	1.143
63	819076	61.5582
64	819077	2.3571
65	819091	3.3264
66	819092	1.4427
67	819121	13.158
68	819122	5.0085
69	819190	5.1543
70	819191	2.664
71	819221	3.753
72	819222	10.6587
73	819230	1.0701
74	819231	63.9585
75	819232	3.5667
76	819310	3.3138
77	819354	14.985
78	819370	1.3338
79	819371	70.5141
80	819401	10.5057
81	819402	6.273
82	819403	8.6967
83	819426	71.9622
84	819467	1.0935
85	819468	20.7729
86	819522	4.2075
87	819537	9.4599
88	819554	0.9648
89	819590	26.0757
90	819591	0.8163
91	819592	0.792
92	819604	1.6092
93	819621	1.521
94	819622	15.6177
95	819623	1.6434
96	819671	2.574
97	819672	75.2895
98	819674	13.2687
99	819787	37.449
100	819788	23.175
101	820041	62.6805
102	820128	18.9324
103	820129	5.067
104	820191	2.0412
105	820192	0.9729
106	820229	28.3266
107	820230	24.1803
108	820249	1.8153
109	820250	84.8124
110	820251	2.2473
111	820255	6.6492
112	820265	80.8911
113	820266	82.9917
114	820285	52.6788
115	820286	2.9133
116	820339	75.924
117	820344	1.0755
118	820345	1.5912
119	820364	9.5202
120	820373	2.7243
121	820447	10.0962
122	820488	9.2358
123	820499	4.1499
124	820500	56.4615
125	820505	16.7922
126	820510	89.0802
127	820511	12.6063
128	820512	2.1177
129	820517	74.3958
130	820528	0.7929
131	820533	2.0655
132	820534	1.4598
133	820538	5.2065
134	820539	3.5307
135	820541	3.4245
136	820596	17.685
137	820597	1.3851
138	820603	1.6065
139	820643	4.5684
140	820659	0.7875
141	820660	43.3512
142	820754	3.0852
143	820762	121.6278
144	820798	21.6747
145	820799	77.8095
146	820808	10.3158
147	820832	15.4413
148	820871	129.2589
149	820889	95.5755
150	820895	131.1957
151	820944	1.008
152	820948	40.644
153	820962	4.896
154	820997	5.6241
155	821030	0.9351
156	821045	227.268
157	821071	0.9045
158	821090	4.4433
159	821130	19.9611
160	821174	11.3166
161	821189	3.0321
162	821193	3.9069
163	821205	1.044
164	821206	102.7269
165	821280	3.6684
166	821333	1.233
167	821353	1.188
168	821363	4.0068
169	821368	3.2859
170	821391	229.401
171	821398	1.9638
172	821476	7.3305
173	821478	105.1155
174	821479	2.1888
175	821521	232.0353
176	821522	4.0698
177	821523	0.9252
178	821524	1.5039
179	821532	1.4382
180	821575	1.1862
181	821593	0.9117
182	821594	1.0323
183	821627	18.6174
184	821676	9.9603
185	821682	6.3243
186	821697	236.9835
187	821706	131.1093
188	821707	108.1026
189	821708	1.0584
190	821722	0.7911
191	821739	1.2303
192	821740	2.2725
193	821751	8.01
194	821796	21.1941
195	821810	17.9847
196	821825	2.1204
197	821826	142.3341
198	821842	2.7837
199	821855	2.3562
200	821856	2.6748
201	821866	16.5285
202	821867	3.6342
203	821886	3.0474
204	821896	12.0384
