OBJECTID	FEATUREID	EXCLUDE	latitude	longitude	meanMaxTemp	maxMaxTemp	meanJulyTemp	meanAugTemp	meanSummerTemp	meanDays_18	meanDays_20	meanDays_22	yearsMaxTemp_18	freqMaxTemp_18	yearsMaxTemp_20	freqMaxTemp_20	yearsMaxTemp_22	freqMaxTemp_22	brooktrout_occupied_data	spring_salamander_occupied_data	areasqkm	forest	elevation	fwsopenwater	fwswetland	impervious	developed	deg_barr_all	highresm	highreskm	upstream_culvertcount	forestaction1	forestaction2	forestaction3	forestaction4	damaction1	damaction2	damaction3	culvertaction1	culvertaction2	culvertaction3
1	816202	0	43.09048639	-72.94669175	19.3220491	22.24251992	15.71528882	15.03832965	14.82817826	5	1	1	30	0	10	0	1	0	0	0	2.0862	0.987489215	901.9196715	0.003451251	0.041415013	0	0	0	2539.923261	2.539923261	1	0.987489215	0.987489215	0.987489215	0.987489215	0	0	0	1	1	0
2	816203	0	43.08519093	-72.94502933	19.53022355	21.88965064	15.97442267	15.32903776	15.09377937	5	1	0	31	0	13	0	0	0	0	0	1.8783	1	901.4909777	0	0.043124102	0	0	0	1394.337234	1.394337234	1	1	1	1	1	0	0	0	1	1	0
3	816226	0	43.09037006	-72.96993151	21.02001665	23.44035729	16.92595399	16.25648188	16.03088525	16	3	2	34	1	26	0	6	0	0	0	0.8253	0.983642312	799.4451506	0	0.183206107	0	0	1	1007.294755	1.007294755	0	0.983642312	0.983642312	0.983642312	0.983642312	1	1	0	0	0	0
4	816227	0	43.08538619	-72.96458776	20.86783602	23.27083418	17.02609203	16.34930749	16.12105481	17	3	1	34	1	28	0	5	0	0	0	3.9879	0.993455202	900.8936806	0.001805462	0.04197698	0	0	0	111.6055372	0.111605537	0	0.993455202	0.993455202	0.993455202	0.993455202	0	0	0	0	0	0
5	816438	0	43.08188197	-72.9658403	19.83892309	21.50872563	16.71230622	16.05260224	15.8273344	11	2	0	33	0	16	0	0	0	0	0	5.346	0.992592593	871.7910155	0.001346801	0.05959596	0	0	0	830.8705348	0.830870535	0	0.992592593	0.992592593	0.992592593	0.992592593	0	0	0	0	0	0
6	816439	0	43.0784121	-72.94720177	19.56062893	22.77932963	16.36143888	15.71359566	15.47608892	8	3	1	31	0	11	0	1	0	0	0	2.1087	0.996158771	876.9310114	0.002134016	0.021340162	0	0	0	998.5662721	0.998566272	0	0.996158771	0.996158771	0.996158771	0.996158771	0	0	0	0	0	0
7	816709	0	43.07724237	-72.97364005	19.64518552	22.56100434	16.48405171	15.85170491	15.60764702	10	3	1	30	0	12	0	1	0	0	0	10.0485	0.995253023	845.8427232	0.001164353	0.046036722	0	0	0	1298.201249	1.298201249	0	0.995253023	0.995253023	0.995253023	0.995253023	0	0	0	0	0	0
8	816710	0	43.07075151	-72.95627529	19.5630112	21.63245452	16.58635374	15.93397859	15.6989044	11	2	0	31	0	12	0	0	0	0	0	1.017	0.995575221	778.8304135	0	0.072566372	0	0	0	611.254885	0.611254885	0	0.995575221	0.995575221	0.995575221	0.995575221	0	0	0	0	0	0
9	816932	0	43.07202961	-72.99921331	19.48041453	21.32135895	16.26066323	15.58381511	15.36163356	8	1	0	33	0	12	0	0	0	0	0	1.7703	0.99694967	800.7489003	0.002541942	0.108795119	0.00965938	0.00305033	0	2841.052055	2.841052055	0	0.99694967	0.99694967	0.99694967	0.99694967	0	0	0	0	0	0
10	816933	0	43.07247011	-72.98801363	19.72477867	21.36099226	16.60161688	15.93566549	15.70591055	11	2	0	33	0	16	0	0	0	0	0	0.8163	0.993384785	788.8380963	0.001102536	0.035281147	0	0	0	1888.837909	1.888837909	0	0.993384785	0.993384785	0.993384785	0.993384785	0	0	0	0	0	0
11	816940	0	43.06835592	-73.0052268	19.30939899	22.04267514	16.12260897	15.47635422	15.24150163	8	2	1	27	0	7	0	1	0	0	0	0.9378	0.988483685	837.3291892	0	0.099808061	0	0	0	771.4293084	0.771429308	0	0.988483685	0.988483685	0.988483685	0.988483685	0	0	0	0	0	0
12	816941	0	43.06303403	-72.98554532	19.77621082	22.28737152	16.60470883	15.95338109	15.71188267	10	3	1	33	0	13	0	1	0	0	0	2.6361	0.995220212	795.7019693	0.002048481	0.085694776	0.011608057	0.002389894	4	30.61306382	0.030613064	1	0.995220212	0.995220212	0.995220212	0.995220212	4	4	0	1	1	0
13	816961	0	43.0622746	-72.99479675	20.45279433	23.16025527	16.50869245	15.83653408	15.62135975	11	2	1	34	1	21	0	3	0	0	0	2.0475	0.971868132	837.0967653	0	0.076043956	0.042637363	0.022417582	0	766.67943	0.76667943	2	0.971868132	0.971868132	0.971868132	0.971868132	0	0	0	2	2	0
14	816970	0	43.06077518	-72.98851541	20.5878873	22.51967593	17.04951048	16.37807836	16.14424673	14	3	1	34	1	22	0	4	0	0	0	4.7367	0.983469504	812.8542186	0.001140034	0.080562417	0.036861106	0.011970359	0	156.842131	0.156842131	0	0.983469504	0.983469504	0.983469504	0.983469504	0	0	0	0	0	0
15	816995	0	43.06225723	-73.00609155	18.58956546	20.57512229	15.65828106	14.98730485	14.76879661	4	1	0	25	0	4	0	0	0	0	0	0.8982	0.970941884	851.713851	0	0.069138277	0.059118236	0.029058116	409	1176.22159	1.17622159	0	0.970941884	0.970941884	0.970941884	0.970941884	409	409	0	0	0	0
16	817007	0	43.05727263	-72.99172513	20.40597618	23.35785431	17.02844228	16.36403669	16.13001537	14	2	1	34	1	24	0	3	0	0	0	0.7812	1	767.0253563	0	0.05875576	0	0	0	671.2527319	0.671252732	1	1	1	1	1	0	0	0	1	1	0
17	817024	0	43.06066751	-72.94987648	20.53655107	22.95224454	17.42469904	16.75003229	16.51066644	22	3	1	34	1	23	0	4	0	0	0	2.1159	0.943853679	731.5224097	0.028498511	0.135686942	0.090599745	0.022968949	0	2274.821305	2.274821305	1	0.943853679	0.943853679	0.943853679	0.943853679	0	0	0	1	1	0
